AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,DiscountDLC count,Reviews,Mac,Linux,Metacritic score,Positive,Negative,Score rank,Recommendations,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Developers,Publishers,Categories,Genres_x,rating,owners_min,owners_max,year,ID,Title,ReleaseDate,Rating,Genres_y,Platforms,Metascore,Userscore,Developer,Publisher
376570,wildstar,2016-06-09,1000000 - 2000000,0,0,0.0,0,"['English', 'French', 'German']",True,False,False,0,3822,1278,142,375,0,150,0,Carbine Studios,NCSOFT,"MMO,Online PvP,Steam Achievements,Steam Trading Cards,In-App Purchases,Family Sharing",0.0,1000000,2000000,2016,2438.0,wildstar,2014-06-03,T,MMORPG,PC,82.0,76.0,carbine studios,ncsoft
642610,shape of the world,2018-06-05,20000 - 50000,0,0,1.29,90,[],True,False,False,0,307,82,26,62,0,60,0,Hollow Tree Games,Plug In Digital,"Single-player,Steam Achievements,Full controller support,Remote Play on TV,Family Sharing",0.0,20000,50000,2018,9505.0,shape of the world,2018-06-06,E10+,Open-World Action,"Xbox One,PlayStation 4,Nintendo Switch",67.0,74.0,"seaven studio,seaven studio","hollow tree games,plug in digital"
795420,the darkside detective: a fumble in the dark,2021-04-15,0 - 20000,9,0,6.74,55,[],True,True,True,0,1653,63,30,619,0,634,0,Spooky Doorway,Akupara Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Camera Comfort,Custom Volume Controls,Mouse Only Option,Playable without Timed Input,Save Anytime,Steam Cloud,Family Sharing",0.0,0,20000,2021,1622.0,the darkside detective: a fumble in the dark,2021-04-15,Unknown,Point-and-Click,PC,84.0,78.0,spooky doorway,akupara games
320320,darkstone,2014-09-25,50000 - 100000,4,0,0.99,80,"['English', 'Spanish - Spain']",True,False,False,0,427,120,0,91,0,143,0,Delphine Software,Microids,"Single-player,Multi-player,Shared/Split Screen,Remote Play Together,Family Sharing",0.0,50000,100000,2014,11898.0,darkstone,2001-01-28,T,Action RPG,PlayStation,58.0,76.0,delphine software international,"take-two interactive,electronic arts"
405830,turok 2: seeds of evil,2017-03-16,200000 - 500000,17,0,4.99,75,"['English', 'Spanish - Spain']",True,True,True,0,2299,241,14,426,0,229,0,"Iguana Entertainment,Nightdive Studios",Nightdive Studios,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play Together,Family Sharing",0.0,200000,500000,2017,1075.0,turok 2: seeds of evil,1998-12-10,M,FPS,Nintendo 64,86.0,81.0,iguana entertainment,"acclaim,nightdive studios"
1808500,arc raiders,2025-10-30,0 - 20000,0,0,31.99,20,"['English', 'Turkish']",True,False,False,0,0,0,50,3093,974,2007,448,Embark Studios,Embark Studios,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases,Stats,Family Sharing",,0,20000,2025,989.0,arc raiders,2025-10-30,Unknown,Third Person Shooter,"PC,PlayStation 5,Xbox Series X",86.0,78.0,embark studios,embark studios
1486920,tempest rising,2025-04-24,500000 - 1000000,528,0,29.99,25,"['English', 'Portuguese - Brazil']",True,False,False,0,6276,767,98,759,354,378,451,Slipgate Ironworks™,"3D Realms,Knights Peak","Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing",0.0,500000,1000000,2025,2979.0,tempest rising,2025-04-21,Unknown,Real-Time Strategy,PC,80.0,74.0,slipgate ironworks,3d realms
550320,art of rally,2020-09-23,50000 - 100000,44,0,12.49,50,[],True,True,True,0,5115,401,43,381,64,174,64,Funselektor Labs Inc.,Funselektor Labs Inc.,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Family Sharing",0.0,50000,100000,2020,3469.0,art of rally,2020-09-23,Unknown,Auto Racing,"PC,Xbox Series X,Nintendo Switch",79.0,69.0,funselektor labs inc.,funselektor labs inc.
3527290,peak,2025-06-16,0 - 20000,0,0,4.95,38,[],True,False,False,0,0,0,54,758,160,450,100,Team PEAK,"Aggro Crab,Landfall","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Family Sharing",,0,20000,2025,2201.0,peak,2025-06-16,Unknown,Action Adventure,PC,82.0,77.0,landcrab,aggro crab
1839940,dakar desert rally,2022-10-04,50000 - 100000,6,0,9.89,67,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Portugal', 'Portuguese - Brazil']",True,False,False,0,764,555,55,250,0,304,0,Saber Porto Ltd.,Saber Interactive,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Remote Play on TV,Remote Play Together,Family Sharing",0.0,50000,100000,2022,8681.0,dakar desert rally,2022-10-04,E,Auto Racing Sim,"PlayStation 5,Xbox Series X,PC",69.0,56.0,saber interactive,"saber interactive,3goo"
